,city,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed
0,rikitea,-18.885246008195168,-130.10616824584696,76.98,100,0,5.39
1,ushuaia,-86.4717387028644,-44.53198216134655,-56.05,0,0,20.71
2,mataura,-78.05885385194155,-141.68230916565753,5.88,68,12,23.96
3,oleksandrivka,45.87929936915424,31.114333358588368,46.4,75,0,6.71
4,guerrero negro,19.348730408488848,-127.6254440006226,76.26,100,0,9.42
5,dapaong,-87.86103746255516,-78.1171882050434,-44.35,0,44,16.8
6,thaton,10.784412223631648,0.5347772854204607,78.96,79,0,3.71
7,wewak,16.81561326508009,96.98337858848436,76.35,100,68,6.96
8,saint-augustin,-0.21503500383933272,144.1879206059586,86.7,95,56,4.94
9,cabo san lucas,55.88036434783481,-61.283474684112775,41.52,78,0,9.75
10,taolanaro,18.84732754723099,-115.85637296096027,79.86,100,80,22.95
11,silchar,-48.20796667348009,54.449991279746,38.55,94,92,39.62
12,barbar,24.96391312021545,92.85164501036974,66.54,91,12,1.81
13,barentsburg,18.688221190337487,33.32231849020823,72.12,44,0,7.96
14,puerto ayora,74.6660223690765,14.36749331345797,38.28,100,76,10.2
15,seydi,-18.482722618216883,-99.00490119388519,68.88,100,0,8.75
16,hilo,40.16094921913259,62.390078195162175,59.34,39,0,9.53
17,taoudenni,29.459711326469332,-144.0193247697144,71.49,100,44,17.47
18,chikwawa,22.389618846851562,-2.6713163656982033,74.19,26,0,4.38
19,dunedin,-23.41335273952042,-120.459907231886,73.29,100,0,11.1
20,leningradskiy,-16.024243589969856,34.50838620439535,67.71,56,0,5.84
21,maryville,-57.66018550686275,178.5232845385549,39.81,100,36,44.87
22,port alfred,71.8018082979197,178.8764299315983,40.71,87,0,16.13
23,gejiu,40.07199004156888,-95.23383652615941,84.02,69,1,8.05
24,port lincoln,-81.04380483108395,53.52778494084342,-86.29,0,8,3.6
25,castro,23.322175205738162,102.84153394184784,60.51,98,92,2.37
26,avarua,-38.564154668034085,130.3901397466534,48.9,100,76,5.28
27,tuktoyaktuk,-43.00232479310789,-85.91080180222532,45.66,100,92,1.59
28,qaanaaq,-19.994426162047205,-161.0908418417997,74.91,100,0,21.16
29,busselton,72.19602987056726,-132.68783520302006,17.31,100,48,8.63
30,komsomolskiy,75.88899956975538,-74.92348257760042,27.84,100,0,15.68
31,mahebourg,-62.784687324961304,101.13455721517238,23.34,88,76,25.75
32,georgetown,72.73582303398382,173.6955167694764,37.02,87,56,12.21
33,hermanus,-44.52551331362157,82.22978638625773,48.99,94,92,14
34,kapaa,-16.640856584236303,-16.08648976420389,69.42,100,88,11.99
35,sitka,-86.41804169340791,-10.792155219300582,-61.18,0,8,12.77
36,vila franca do campo,25.26752644391358,-169.4540541500178,73.92,100,100,28.1
37,kodiak,48.6511024307147,-140.35307660764252,56.64,100,64,16.13
38,mar del plata,32.61657530735626,-24.0467358422637,75.36,100,76,16.02
39,ahipara,46.57541889733923,-146.75165062593737,59.61,99,80,21.61
40,bosaso,-48.23994331985155,-49.13596704518943,41.16,100,76,22.28
41,torbay,-31.096285099013876,171.5617187902377,63.84,100,92,13.22
42,hobart,11.000540054678282,49.04730935136547,60.87,91,0,2.71
43,saint-philippe,41.0444481180227,-50.077701198166665,73.2,100,64,17.92
